,Floor,Beds,Link,Starting
0,2,2,https://cortland.com/apartments/cortland-macarthur/available-apartments/27682027/?forcecache=1#content,6/05
1,2,2,https://cortland.com/apartments/cortland-macarthur/available-apartments/27682029/?forcecache=1#content,Available Now
